MIN=0	-3	-1000	0	
MAX=80	3	1000	5	
SCALE=10	1	500	1	
DEC=1	3	0	3	
DEF="Zeit" t / s	"Strom" I_A1 / A	"Magn. Flussdichte" B_B1 / mT	"Frequenz" f / Hz	
43,2	0,0945	23,5	NAN	
43,3	0,1395	5,5	NAN	
43,4	0,183	-15	NAN	
43,5	0,2145	-31	NAN	
43,6	0,2475	-43	NAN	
43,7	0,273	-57	NAN	
43,8	0,2925	-69	NAN	
43,9	0,318	-79,5	NAN	
44	0,3585	-94,5	NAN	
44,1	0,381	-105	NAN	
44,2	0,4185	-119	NAN	
44,3	0,4275	-128,5	NAN	
44,4	0,468	-142,5	NAN	
44,5	0,4875	-153	NAN	
44,6	0,5295	-169,5	NAN	
44,7	0,552	-180,5	NAN	
44,8	0,582	-192	NAN	
44,9	0,606	-203,5	NAN	
45	0,624	-214	NAN	
45,1	0,6465	-222,5	NAN	
45,2	0,6825	-235,5	NAN	
45,3	0,7095	-248	NAN	
45,4	0,7335	-258,5	NAN	
45,5	0,7755	-272,5	NAN	
45,6	0,8055	-286,5	NAN	
45,7	0,8535	-305	NAN	
45,8	0,8565	-312,5	NAN	
45,9	0,9105	-327,5	NAN	
46	0,9465	-343	NAN	
46,1	0,96	-352	NAN	
46,2	0,9795	-361	NAN	
46,3	1,0155	-373,5	NAN	
46,4	1,053	-386	NAN	
46,5	1,0875	-399,5	NAN	
46,6	1,0995	-408,5	NAN	
46,7	1,1295	-418,5	NAN	
46,8	1,14	-424,5	NAN	
46,9	1,179	-434,5	NAN	
47	1,1805	-440,5	NAN	
47,1	1,1985	-447,5	NAN	
47,2	1,2135	-453	NAN	
47,3	1,23	-458	NAN	
47,4	1,2555	-465	NAN	
47,5	1,263	-471,5	NAN	
47,6	1,2975	-480	NAN	
47,7	1,314	-487	NAN	
47,8	1,362	-499,5	NAN	
47,9	1,398	-512	NAN	
48	1,434	-524	NAN	
48,1	1,47	-536	NAN	
48,2	1,497	-546	NAN	
48,3	1,5525	-559,5	NAN	
48,4	1,5825	-571	NAN	
48,5	1,617	-581,5	NAN	
48,6	1,6515	-592	NAN	
48,7	1,6695	-601	NAN	
48,8	1,7025	-609,5	NAN	
48,9	1,7205	-616,5	NAN	
49	1,764	-627	NAN	
49,1	1,767	-631,5	NAN	
49,2	1,7985	-640	NAN	
49,3	1,827	-646,5	NAN	
49,4	1,8525	-654,5	NAN	
49,5	1,872	-661,5	NAN	
49,6	1,9155	-669,5	NAN	
49,7	1,944	-679	NAN	
49,8	1,983	-688,5	NAN	
49,9	2,0145	-697,5	NAN	
50	2,0355	-703,5	NAN	
50,1	2,076	-714	NAN	
50,2	2,094	-718,5	NAN	
50,3	2,1195	-724,5	NAN	
50,4	2,154	-732,5	NAN	
50,5	2,1855	-740,5	NAN	
50,6	2,19	-744	NAN	
50,7	2,232	-752	NAN	
50,8	2,2485	-757,5	NAN	
50,9	2,2815	-764,5	NAN	
51	2,3175	-771,5	NAN	
51,1	2,358	-780,5	NAN	
51,2	2,364	-784	NAN	
51,3	2,3955	-789,5	NAN	
51,4	2,4165	-795	NAN	
51,5	2,4405	-800,5	NAN	
51,6	2,463	-804,5	NAN	
51,7	2,475	-808,5	NAN	
51,8	2,5005	-813,5	NAN	
51,9	2,523	-817,5	NAN	
52	2,541	-821,5	NAN	
52,1	2,562	-826	NAN	
52,2	2,5785	-829	NAN	
52,3	2,6025	-834	NAN	
52,4	2,6295	-839	NAN	
52,5	2,646	-842	NAN	
52,6	2,67	-846,5	NAN	
52,7	2,6955	-850,5	NAN	
52,8	2,715	-854,5	NAN	
52,9	2,7345	-858	NAN	
53	2,7675	-863,5	NAN	
53,1	2,778	-866	NAN	
53,2	2,799	-870	NAN	
53,3	2,832	-875	NAN	
53,4	2,8335	-877	NAN	
53,5	2,838	-878	NAN	
53,6	2,8425	-878,5	NAN	
53,7	2,865	-880,5	NAN	
53,8	2,865	-882	NAN	
53,9	2,8965	-886	NAN	
54	2,922	-889,5	NAN	
54,1	2,9265	-891,5	NAN	
54,2	2,9205	-891,5	NAN	
54,3	2,8725	-887	NAN	
54,4	2,8305	-885	NAN	
54,5	2,7345	-877,5	NAN	
54,6	2,6745	-870,5	NAN	
54,7	2,631	-865,5	NAN	
54,8	2,571	-859	NAN	
54,9	2,5485	-855	NAN	
55	2,517	-851	NAN	
55,1	2,484	-846,5	NAN	
55,2	2,448	-841,5	NAN	
55,3	2,427	-838	NAN	
55,4	2,403	-834	NAN	
55,5	2,3715	-830	NAN	
55,6	2,3565	-827	NAN	
55,7	2,316	-821,5	NAN	
55,8	2,274	-815	NAN	
55,9	2,2215	-805,5	NAN	
56	2,178	-796	NAN	
56,1	2,118	-786,5	NAN	
56,2	2,0775	-776,5	NAN	
56,3	2,0205	-766,5	NAN	
56,4	1,9665	-756	NAN	
56,5	1,914	-744	NAN	
56,6	1,875	-734,5	NAN	
56,7	1,848	-726	NAN	
56,8	1,827	-720,5	NAN	
56,9	1,8015	-713,5	NAN	
57	1,758	-706,5	NAN	
57,1	1,761	-702	NAN	
57,2	1,7205	-694,5	NAN	
57,3	1,701	-688,5	NAN	
57,4	1,6605	-679	NAN	
57,5	1,6155	-669	NAN	
57,6	1,572	-658,5	NAN	
57,7	1,5195	-645	NAN	
57,8	1,479	-632,5	NAN	
57,9	1,41	-616	NAN	
58	1,3665	-602	NAN	
58,1	1,3215	-588,5	NAN	
58,2	1,2615	-573	NAN	
58,3	1,239	-563	NAN	
58,4	1,1955	-550,5	NAN	
58,5	1,1235	-532	NAN	
58,6	1,095	-520	NAN	
58,7	1,062	-509	NAN	
58,8	1,0095	-494	NAN	
58,9	0,9735	-481,5	NAN	
59	0,9465	-470,5	NAN	
59,1	0,9105	-459	NAN	
59,2	0,852	-437	NAN	
59,3	0,7755	-415,5	NAN	
59,4	0,711	-392,5	NAN	
59,5	0,639	-365,5	NAN	
59,6	0,5865	-343,5	NAN	
59,7	0,5445	-324	NAN	
59,8	0,462	-293,5	NAN	
59,9	0,3615	-254,5	NAN	
60	0,3135	-228,5	NAN	
60,1	0,279	-210,5	NAN	
60,2	0,2085	-183	NAN	
60,3	0,1605	-157,5	NAN	
60,4	0,078	-125,5	NAN	
60,5	0,0315	-101	NAN	
60,6	-0,003	-81,5	NAN	
60,7	-0,0015	-75	NAN	
60,8	0	-71,5	NAN	
60,9	-0,0015	-70	NAN	
61	0	-68,5	NAN	
61,1	0	-68	NAN	
61,2	0	-67,5	NAN	
61,3	0	-67,5	NAN	
61,4	-0,0015	-67	NAN	
61,5	0	-67	NAN	
61,6	0	-67	NAN	
61,7	-0,0015	-67	NAN	
61,8	0	-67	NAN	
61,9	0	-67	NAN	
62	0	-66,5	NAN	
62,1	-0,0015	-66,5	NAN	
62,2	0	-66,5	NAN	
62,3	-0,0465	-61,5	NAN	
62,4	-0,1395	-24,5	NAN	
62,5	-0,2145	8	NAN	
62,6	-0,288	39	NAN	
62,7	-0,3375	64	NAN	
62,8	-0,3825	86	NAN	
62,9	-0,4395	109,5	NAN	
63	-0,4845	131,5	NAN	
63,1	-0,546	155,5	NAN	
63,2	-0,573	170,5	NAN	
63,3	-0,612	186,5	NAN	
63,4	-0,6255	198,5	NAN	
63,5	-0,6615	210,5	NAN	
63,6	-0,6915	223,5	NAN	
63,7	-0,7125	233,5	NAN	
63,8	-0,7245	242,5	NAN	
63,9	-0,744	251	NAN	
64	-0,7965	268	NAN	
64,1	-0,852	290,5	NAN	
64,2	-0,9135	310,5	NAN	
64,3	-0,9315	325	NAN	
64,4	-0,954	335	NAN	
64,5	-0,9795	346	NAN	
64,6	-1,0365	363	NAN	
64,7	-1,098	384	NAN	
64,8	-1,134	400	NAN	
64,9	-1,1775	416,5	NAN	
65	-1,2105	430	NAN	
65,1	-1,248	443	NAN	
65,2	-1,2855	457,5	NAN	
65,3	-1,338	475,5	NAN	
65,4	-1,3875	492	NAN	
65,5	-1,4295	505,5	NAN	
65,6	-1,4715	520	NAN	
65,7	-1,5075	533	NAN	
65,8	-1,554	547	NAN	
65,9	-1,59	559,5	NAN	
66	-1,632	571,5	NAN	
66,1	-1,6665	584,5	NAN	
66,2	-1,719	598	NAN	
66,3	-1,737	606,5	NAN	
66,4	-1,761	615	NAN	
66,5	-1,7895	622,5	NAN	
66,6	-1,806	628	NAN	
66,7	-1,8315	634,5	NAN	
66,8	-1,848	640,5	NAN	
66,9	-1,8675	646	NAN	
67	-1,8855	651	NAN	
67,1	-1,9185	658	NAN	
67,2	-1,9515	666,5	NAN	
67,3	-1,9725	673	NAN	
67,4	-2,01	682	NAN	
67,5	-2,0325	689	NAN	
67,6	-2,073	697	NAN	
67,7	-2,0775	703	NAN	
67,8	-2,106	708,5	NAN	
67,9	-2,142	716,5	NAN	
68	-2,1885	726,5	NAN	
68,1	-2,2035	732	NAN	
68,2	-2,229	739	NAN	
68,3	-2,2785	749	NAN	
68,4	-2,313	757	NAN	
68,5	-2,3295	762,5	NAN	
68,6	-2,358	768,5	NAN	
68,7	-2,3775	773	NAN	
68,8	-2,4165	780,5	NAN	
68,9	-2,4405	786	NAN	
69	-2,463	791	NAN	
69,1	-2,472	794,5	NAN	
69,2	-2,499	799,5	NAN	
69,3	-2,5155	803	NAN	
69,4	-2,5305	806,5	NAN	
69,5	-2,5545	810,5	NAN	
69,6	-2,559	813	NAN	
69,7	-2,5755	815,5	NAN	
69,8	-2,616	822	NAN	
69,9	-2,6295	826	NAN	
70	-2,6535	830	NAN	
70,1	-2,673	834	NAN	
70,2	-2,7	838,5	NAN	
70,3	-2,73	843,5	NAN	
70,4	-2,763	848,5	NAN	
70,5	-2,781	853	NAN	
70,6	-2,8035	857,5	NAN	
70,7	-2,8335	862,5	NAN	
70,8	-2,8365	864	NAN	
70,9	-2,8485	865,5	NAN	
71	-2,865	868,5	NAN	
71,1	-2,898	872,5	NAN	
71,2	-2,9055	875	NAN	
71,3	-2,916	877	NAN	
71,4	-2,862	873,5	NAN	
71,5	-2,766	866	NAN	
71,6	-2,712	860,5	NAN	
71,7	-2,679	856,5	NAN	
71,8	-2,658	854	NAN	
71,9	-2,625	850,5	NAN	
72	-2,559	844	NAN	
72,1	-2,5155	837,5	NAN	
72,2	-2,463	830,5	NAN	
72,3	-2,394	822	NAN	
72,4	-2,3505	814	NAN	
72,5	-2,2905	805	NAN	
72,6	-2,244	797	NAN	
72,7	-2,2065	789,5	NAN	
72,8	-2,1825	783	NAN	
72,9	-2,1315	776,5	NAN	
73	-2,0985	768	NAN	
73,1	-2,0775	762,5	NAN	
73,2	-2,0205	754	NAN	
73,3	-1,989	746,5	NAN	
73,4	-1,935	735,5	NAN	
73,5	-1,8885	725	NAN	
73,6	-1,848	715	NAN	
73,7	-1,824	708,5	NAN	
73,8	-1,8015	700,5	NAN	
73,9	-1,779	695,5	NAN	
74	-1,7625	689	NAN	
74,1	-1,7265	682,5	NAN	
74,2	-1,6995	676	NAN	
74,3	-1,662	666,5	NAN	
74,4	-1,6275	659,5	NAN	
74,5	-1,5855	649,5	NAN	
74,6	-1,5615	640,5	NAN	
74,7	-1,5105	629	NAN	
74,8	-1,4865	619,5	NAN	
74,9	-1,4445	609,5	NAN	
75	-1,395	596,5	NAN	
75,1	-1,347	583,5	NAN	
75,2	-1,3185	573	NAN	
75,3	-1,2585	557,5	NAN	
75,4	-1,233	548	NAN	
75,5	-1,1835	534,5	NAN	
75,6	-1,128	516,5	NAN	
75,7	-1,0875	504,5	NAN	
75,8	-1,0395	489,5	NAN	
75,9	-0,966	468,5	NAN	
76	-0,9195	450,5	NAN	
76,1	-0,8445	427,5	NAN	
76,2	-0,8385	419,5	NAN	
76,3	-0,7875	404	NAN	
76,4	-0,7515	388,5	NAN	
76,5	-0,7095	375,5	NAN	
76,6	-0,6675	358,5	NAN	
